,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
0,Harry Styles,As It Was,hot100,0.449,0.023,-24.423,0.0336,0.903,0.0187,0.277,90.071,0
1,Jack Harlow,First Class,hot100,0.215,0.71,-7.285,0.0459,0.0143,1.97e-05,0.415,160.313,15
2,Lizzo,About Damn Time,hot100,0.709,0.357,-9.289,0.214,0.478,0.000294,0.544,75.494,26
3,Glass Animals,Heat Waves,hot100,0.797,0.616,-10.229,0.375,0.762,0.000293,0.451,103.071,26
4,Latto,Big Energy,hot100,0.708,0.673,-4.163,0.0585,0.499,0.000233,0.311,136.969,21
5,Harry Styles,Late Night Talking,hot100,0.833,0.652,-6.942,0.0762,0.00161,0.0985,0.405,158.022,21
6,Bad Bunny,Titi Me Pregunto,hot100,0.591,0.814,-4.986,0.0468,0.015,0.0,0.815,149.9,1
7,Morgan Wallen,Wasted On You,hot100,0.417,0.202,-10.976,0.0357,0.935,0.0,0.323,118.029,24
8,Bad Bunny,Moscow Mule,hot100,0.547,0.65,-13.62,0.324,0.444,0.0,0.684,144.81,16
9,Justin Bieber,Ghost,hot100,0.876,0.498,-7.511,0.0478,0.0706,0.0,0.428,122.016,21
10,Dove Cameron,Boyfriend,hot100,0.852,0.421,-9.153,0.208,0.428,2.28e-06,0.457,95.977,6
11,Doja Cat,Woman,hot100,0.555,0.536,-8.233,0.0452,0.669,0.0,0.203,118.057,12
12,Ed Sheeran,Bad Habits,hot100,0.872,0.588,-6.276,0.0492,0.275,0.0,0.93,142.004,3
13,Em Beihold,Numb Little Bug,hot100,0.707,0.811,-5.298,0.0304,0.311,0.0152,0.899,113.971,22
14,Kodak Black,Super Gremlin,hot100,0.721,0.479,-9.669,0.226,0.321,0.00156,0.902,164.948,3
15,Morgan Wallen,You Proof,hot100,0.829,0.644,-7.696,0.0427,0.354,0.0511,0.896,105.993,22
16,NEW,True Love,hot100,0.535,0.618,-5.668,0.382,0.0245,0.0,0.211,165.991,16
17,Parmalee,Take My Name,hot100,0.821,0.636,-4.479,0.169,0.142,0.0,0.163,127.961,21
18,Ed Sheeran,Shivers,hot100,0.327,0.472,-33.939,0.0453,0.841,0.98,0.0339,57.237,27
19,Lil Nas X,Thats What I Want,hot100,0.575,0.644,-5.68,0.0309,0.271,0.0,0.626,80.07,20
20,Elton John & Dua Lipa,Cold Heart (PNAU Remix),hot100,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.514,139.993,12
21,Bad Bunny,Despues de La Playa,hot100,0.542,0.82,-6.073,0.0432,0.000682,0.000136,0.702,124.85,1
22,Walker Hayes,AA,hot100,0.576,0.457,-6.473,0.0304,0.143,3.05e-05,0.301,138.984,23
23,Jason Aldean,Trouble With A Heartbreak,hot100,0.603,0.691,-5.805,0.0372,0.0248,0.0,0.577,147.148,1
24,Future,Puffin On Zootiez,hot100,0.787,0.546,-7.094,0.0532,0.305,4.55e-05,0.222,93.05,28
25,Karol G,Provenza,hot100,0.645,0.721,-4.394,0.0336,0.357,0.143,0.88,182.928,3
26,Cody Johnson,'Til You Can't,hot100,0.316,0.816,-11.118,0.119,0.00148,0.0,0.39,172.149,15
27,Kendrick Lamar,N95,hot100,0.559,0.535,-7.723,0.039,0.719,0.000143,0.402,141.96,12
28,Zach Bryan,Something In The Orange,hot100,0.464,0.755,-5.707,0.0354,0.00838,0.0,0.449,155.973,15
29,Harry Styles,Music For A Sushi Restaurant,hot100,0.782,0.733,-5.112,0.399,0.269,0.0,0.599,144.098,16
30,Harry Styles,Matilda,hot100,0.524,0.643,-6.055,0.0297,0.451,0.0,0.397,135.962,12
31,The Kid LAROI,Thousand Miles,hot100,0.519,0.617,-4.287,0.0313,0.0387,0.0,0.222,147.708,23
32,Tate McRae,She's All I Wanna Be,hot100,0.775,0.736,-8.072,0.247,0.319,0.00116,0.362,100.988,6
33,Lil Baby,In A Minute,hot100,0.907,0.577,-6.737,0.0767,0.438,3.19e-05,0.801,140.07,3
34,Harry Styles,Daylight,hot100,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.234,98.047,28
35,Scotty McCreery,Damn Strait,hot100,0.912,0.655,-6.029,0.162,0.315,3.39e-05,0.793,91.942,22
36,Doja Cat,Get Into It (Yuh),hot100,0.523,0.64,-6.15,0.0295,0.0512,5.52e-05,0.48,144.022,11
37,Bad Bunny,Efecto,hot100,0.686,0.445,-7.189,0.0398,0.484,0.00144,0.626,145.5,3
38,Kendrick Lamar & Kodak Black,Silent Hill,hot100,0.643,0.605,-5.968,0.297,0.0336,0.0,0.145,84.216,6
39,"Kendrick Lamar, Blxst & Amanda Reifer",Die Hard,hot100,0.614,0.644,-5.372,0.0426,0.0134,7.07e-06,0.651,160.036,10
40,Lady Gaga,Hold My Hand,hot100,0.376,0.657,-4.658,0.0768,0.0858,0.0,0.203,80.565,4
41,Bailey Zimmerman,Fall In Love,hot100,0.507,0.294,-10.0,0.04,0.896,1.97e-05,0.386,114.199,24
42,JNR CHOI & Sam Tompkins,To The Moon!,hot100,0.72,0.715,-4.652,0.04,0.258,0.0568,0.357,107.041,28
43,Thomas Rhett,Slow Down Summer,hot100,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.148,175.212,25
44,Harry Styles,Little Freak,hot100,0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.408,139.956,21
45,NEW,Die Young,hot100,0.501,0.815,-4.865,0.0436,0.0513,0.0,0.46,160.087,10
46,Harry Styles,Grapejuice,hot100,0.87,0.516,-8.006,0.0541,0.656,0.00823,0.53,111.005,9
47,Bad Bunny,Un Ratito,hot100,0.883,0.657,-5.748,0.305,0.0603,0.0,0.284,124.992,16
48,Shawn Mendes,When You're Gone,hot100,0.582,0.797,-4.926,0.0334,0.23,0.0,0.595,135.973,1
49,Harry Styles,Satellite,hot100,0.635,0.747,-6.227,0.0293,0.00313,0.0,0.753,104.027,1
50,Kane Brown,Like I Love Country Music,hot100,0.564,0.903,-3.221,0.307,0.356,0.0,0.607,78.293,6
51,Morgan Wallen,Thought You Should Know,hot100,0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.942,116.032,22
52,Miranda Lambert,If I Was A Cowboy,hot100,0.737,0.846,-4.51,0.22,0.00614,0.0,0.546,87.981,6
53,NEW,Potion,hot100,0.788,0.859,-2.724,0.0856,0.281,0.0,0.822,141.02,3
54,Quavo & Takeoff,Hotel Lobby (Unc And Phew),hot100,0.559,0.66,-4.143,0.0512,0.222,0.0,0.574,163.957,10
55,Lil Baby,Right On,hot100,0.168,0.00931,-30.647,0.0431,0.815,0.803,0.0385,113.992,27
56,Harry Styles,Cinema,hot100,0.731,0.85,-4.913,0.0336,0.252,0.0,0.644,119.706,1
57,Harry Styles,Keep Driving,hot100,0.825,0.414,-6.634,0.144,0.00265,0.0,0.106,72.993,28
58,Harry Styles,Daydreaming,hot100,0.742,0.527,-6.892,0.0769,0.327,0.0,0.638,84.974,7
59,Bad Bunny,Yo No Soy Celoso,hot100,0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.537,126.011,1
60,Harry Styles,Love Of My Life,hot100,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.881,107.998,22
61,Kendrick Lamar,Rich Spirit,hot100,0.345,0.612,-6.543,0.0608,0.232,0.0,0.232,179.773,15
62,Bad Bunny,Neverita,hot100,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.441,153.96,21
63,NEW,Sunroof,hot100,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,0.292,99.968,28
64,Harry Styles,Boyfriends,hot100,0.505,0.657,-5.24,0.0318,0.373,0.00107,0.252,196.0,15
65,Maren Morris,Circles Around This Town,hot100,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.187,106.672,6
66,Jack Harlow,Dua Lipa,hot100,0.714,0.728,-4.595,0.0468,0.298,0.0,0.901,114.996,22
67,Ella Mai,DFMU,hot100,0.935,0.807,-3.838,0.114,0.0514,0.0,0.813,106.017,22
68,Bad Bunny & Buscabulla,Andrea,hot100,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.531,80.87,7
69,Future,Love You Better,hot100,0.836,0.743,-6.305,0.0656,0.0995,0.0,0.722,108.966,22
70,NEW,Wild Hearts,hot100,0.905,0.563,-6.135,0.102,0.0254,9.71e-06,0.324,106.998,28
71,NEW,Last Night Lonely,hot100,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.662,173.93,10
72,Crywank,Only Everyone Can Judge Me,not_hot,0.721,0.46,-11.885,0.283,0.0872,0.000379,0.576,89.979,6
73,Jazmine Sullivan,In Love With Another Man,not_hot,0.395,0.123,-16.099,0.0329,0.958,0.952,0.156,73.959,5
74,Rival Sons,Back In The Woods,not_hot,0.361,0.977,-5.452,0.108,0.000104,0.249,0.269,114.944,4
75,TRESOR,Aphrodite,not_hot,0.811,0.324,-14.555,0.123,0.00354,0.002,0.886,142.422,3
76,Planetshakers,Like A Fire,not_hot,0.573,0.759,-4.646,0.0271,0.00575,0.0,0.234,107.977,11
77,Sticky Fingers,I Ain't Running,not_hot,0.322,0.199,-17.371,0.0455,0.94,0.903,0.363,88.746,5
78,Big Sean,Guap,not_hot,0.524,0.821,-6.519,0.124,0.00419,0.154,0.875,109.086,1
79,Coheed and Cambria,It Walks Among Us,not_hot,0.785,0.566,-8.488,0.438,0.00816,9.05e-05,0.611,160.01,16
80,Taylor Bennett,Broad Shoulders (feat. Chance the Rapper),not_hot,0.671,0.614,-7.544,0.0362,0.00321,0.0315,0.344,151.006,21
81,Van William,Revolution (feat. First Aid Kit),not_hot,0.4,0.613,-6.329,0.0338,0.0712,0.0114,0.521,207.576,15
82,Domo Genesis,Wanderer,not_hot,0.53,0.946,-3.856,0.0478,0.000498,2.94e-05,0.597,103.004,20
83,Helado Negro,Come Be Me,not_hot,0.546,0.673,-4.419,0.0323,0.0151,0.0,0.964,208.106,10
84,Mørk,The Right Place,not_hot,0.723,0.458,-12.086,0.0437,0.12,0.0,0.299,129.992,28
85,Sung Si-kyung,粉雪,not_hot,0.541,0.863,-6.999,0.0703,0.0736,0.00115,0.522,142.829,11
86,Kid Rock,Roll On,not_hot,0.57,0.905,-4.657,0.0599,0.766,0.0,0.869,100.958,9
87,Mk.Gee,I Know How You Get,not_hot,0.565,0.602,-6.352,0.206,0.0654,0.0,0.661,93.679,6
88,The Game,Put You On The Game,not_hot,0.666,0.691,-8.331,0.246,0.0447,0.0,0.495,90.819,6
89,Buck Owens,Hello Trouble,not_hot,0.289,0.2,-13.074,0.0325,0.974,1.92e-05,0.208,93.343,0
90,Audrey Assad,Even Unto Death,not_hot,0.531,0.676,-6.173,0.0299,0.0156,0.00287,0.544,136.759,11
91,Alexis y Fido,Imagínate - Remix,not_hot,0.792,0.629,-7.165,0.335,0.0547,0.0,0.588,149.167,16
92,Tom Rosenthal,Hugging You - Acoustic,not_hot,0.618,0.453,-11.287,0.0334,0.369,0.0113,0.688,105.552,9
93,Kenny Chesney,Live Those Songs,not_hot,0.835,0.707,-5.074,0.0598,0.0219,2.19e-05,0.919,93.955,22
94,Pat Green,Let Me,not_hot,0.429,0.895,-4.677,0.0412,0.0133,0.00127,0.455,102.062,4
95,My Darkest Days,Move Your Body,not_hot,0.772,0.51,-9.67,0.12,0.0079,0.0,0.0755,120.049,28
96,Richard Swift,Broken Finger Blues,not_hot,0.529,0.449,-8.005,0.0426,0.76,2.5e-06,0.37,80.776,29
97,Papa Roach,Top of the World,not_hot,0.899,0.576,-7.274,0.0768,0.171,0.0628,0.632,134.983,21
98,Leonard Cohen,Treaty,not_hot,0.702,0.781,-4.706,0.0263,0.145,0.0033,0.794,101.021,22
99,G Herbo,Bonjour,not_hot,0.626,0.462,-14.94,0.948,0.759,0.0,0.633,119.674,8
100,Night Riots,Follow You,not_hot,0.569,0.74,-6.235,0.283,0.251,2.68e-06,0.721,180.559,16
101,Demun Jones,Smilin,not_hot,0.879,0.413,-8.456,0.0702,0.0347,4.97e-06,0.538,107.937,7
102,Amigo the Devil,The Recluse,not_hot,0.47,0.782,-7.905,0.0511,0.326,4.91e-05,0.176,95.012,4
103,Flatbush Zombies,Facts (feat. Jadakiss),not_hot,0.797,0.444,-7.738,0.0411,0.304,0.00126,0.138,95.035,28
104,Chromeo,Old 45's,not_hot,0.759,0.578,-8.455,0.572,0.197,0.0,0.697,116.809,26
105,Galaxie 500,Strange,not_hot,0.623,0.894,-4.914,0.3,0.309,2e-05,0.234,92.054,6
106,Dounia,If U Wanna,not_hot,0.407,0.738,-3.985,0.0562,0.14,4.67e-05,0.367,199.663,15
107,Queen,Heaven For Everyone - Remastered 2011,not_hot,0.451,0.32,-13.475,0.0456,0.728,5.2e-05,0.255,145.717,25
108,Comedian Bob Marley,Itchy Boobs,not_hot,0.58,0.354,-5.722,0.0419,0.725,0.0,0.214,72.049,29
109,RL Grime,Light Me Up - QUIX Remix,not_hot,0.598,0.854,-5.747,0.0662,0.0549,0.0792,0.371,149.99,11
110,Chase Atlantic,Uncomfortable,not_hot,0.68,0.849,-5.295,0.0444,0.00746,0.0694,0.806,106.486,1
111,Antonín Dvořák,"2 Pieces, Op. posth., B. 188: No. 1. Lullaby in G Major",not_hot,0.364,0.119,-22.669,0.0453,0.176,0.694,0.0758,77.275,5
112,Sufjan Stevens,Lonely Man of Winter - Doveman Mix feat. Melissa Mary Ahern,not_hot,0.257,0.133,-18.496,0.0332,0.977,0.913,0.0395,78.138,5
113,Michael Giacchino,The Strum of Destiny,not_hot,0.69,0.672,-6.388,0.0716,0.47,0.0,0.544,113.842,21
114,Luke Bryan,You Don't Know Jack,not_hot,0.806,0.414,-13.073,0.105,0.00105,0.886,0.572,118.004,2
115,Giuseppe Verdi,"""Libiamo ne'lieti calici""",not_hot,0.235,0.187,-12.754,0.0347,0.988,0.00197,0.118,85.962,0
116,Brian Davis,I’m All In,not_hot,0.576,0.651,-9.452,0.43,0.691,0.0,0.698,81.111,26
117,Jelly Roll,Glitter,not_hot,0.62,0.721,-5.538,0.0887,0.0422,0.0075,0.77,169.904,10
118,Passion Pit,The Reeling,not_hot,0.554,0.893,-5.793,0.0398,0.017,0.00158,0.487,107.302,20
119,Avenged Sevenfold,Acid Rain,not_hot,0.747,0.656,-6.995,0.23,0.72,0.0,0.707,145.053,3
120,Max Richter,"nor earth, nor boundless sea - Pt. 1",not_hot,0.323,0.482,-8.024,0.0298,0.207,0.0,0.218,58.095,13
121,Van Morrison,The Prophet Speaks,not_hot,0.817,0.623,-6.911,0.0521,0.151,0.847,0.688,87.261,2
122,Justine Skye,Don’t Think About It,not_hot,0.505,0.6,-8.831,0.0529,0.263,0.353,0.764,179.002,10
123,Theory of a Deadman,Santa Monica,not_hot,0.772,0.83,-3.981,0.0455,0.0357,0.0,0.753,127.999,1
124,Lifehouse,Everything,not_hot,0.69,0.84,-6.104,0.0307,0.0107,0.0,0.701,115.0,1
125,Frankie Valli & The Four Seasons,Silhouettes,not_hot,0.629,0.649,-7.515,0.0559,0.013,0.513,0.0595,139.998,14
126,The Buttertones,Bad Girl,not_hot,0.705,0.305,-12.589,0.0581,0.612,0.706,0.0923,126.422,17
127,Run The Jewels,Everybody Stay Calm,not_hot,0.209,0.0492,-23.44,0.0425,0.987,0.808,0.0389,90.583,27
128,Dierks Bentley,How Am I Doin',not_hot,0.373,0.53,-6.445,0.028,0.0716,0.0,0.214,143.902,23
129,Smino,Maraca,not_hot,0.448,0.286,-30.655,0.0574,0.734,0.874,0.0333,113.964,19
130,Sons Of Zion,Tell Her,not_hot,0.517,0.969,-5.101,0.0533,0.000237,0.574,0.339,74.998,14
131,The Dangerous Summer,Where Were You When The Sky Opened Up,not_hot,0.524,0.656,-9.823,0.0426,0.00545,0.9,0.0818,95.975,14
132,Yabby You,Conquering Lion,not_hot,0.679,0.409,-10.423,0.0562,0.734,2.25e-05,0.805,83.028,9
133,AlunaGeorge,My Blood,not_hot,0.734,0.583,-11.065,0.0466,0.149,0.521,0.967,88.023,2
134,Sia,Buttons,not_hot,0.558,0.408,-8.235,0.0253,0.05,0.013,0.162,82.021,13
135,Skott,Porcelain - AWAY Remix,not_hot,0.751,0.688,-8.116,0.501,0.143,0.0,0.778,90.113,26
136,Cannonball Adderley,Dancing In The Dark,not_hot,0.653,0.406,-10.372,0.157,0.37,0.0,0.523,103.715,7
137,The Shelters,Rebel Heart,not_hot,0.46,0.643,-4.317,0.0307,0.0161,0.00675,0.506,130.31,11
138,Alexandre Desplat,Hermione's Parents,not_hot,0.732,0.572,-8.089,0.0881,0.0798,0.0569,0.687,180.054,3
139,Motionless In White,570,not_hot,0.637,0.283,-14.094,0.0413,0.946,0.157,0.433,104.946,24
140,Travis Tritt,Sometimes Love Just Ain't Enough (feat. Tyler Reese Tritt),not_hot,0.639,0.637,-6.917,0.0642,0.689,0.000394,0.601,171.96,3
141,Sufjan Stevens,Come On! Feel the Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me In A Dream,not_hot,0.781,0.71,-6.601,0.332,0.0319,0.0,0.465,140.019,16
142,Belmont,Hollowed Out,not_hot,0.667,0.831,-2.586,0.0445,0.00693,0.0,0.381,97.491,20
143,Air,The Vagabond,not_hot,0.52,0.94,-5.311,0.0356,3.85e-05,0.0713,0.743,126.977,1
144,Gabriel Garzón-Montano,Keep On Running,not_hot,0.707,0.579,-7.523,0.268,0.139,8.43e-05,0.192,110.012,6
145,Erykah Badu,Incense,not_hot,0.68,0.715,-5.407,0.0352,0.346,0.0,0.691,118.073,22
146,Herbie Hancock,Sly,not_hot,0.329,0.747,-8.649,0.371,0.205,0.000319,0.39,76.558,26
147,John Williams,Into the Trap,not_hot,0.652,0.527,-9.629,0.0293,0.0514,3.09e-05,0.0978,90.006,28
148,Koop,Come to Me,not_hot,0.621,0.648,-8.465,0.25,0.0544,0.0,0.502,81.071,6
149,The Japanese House,went to meet her (intro),not_hot,0.546,0.418,-9.198,0.0267,0.388,3.74e-06,0.269,112.109,12
150,Smallpools,American Love,not_hot,0.584,0.656,-7.657,0.0578,0.228,0.00288,0.345,81.846,28
151,Ramin Djawadi,The Long Farewell,not_hot,0.772,0.533,-5.75,0.0495,0.0865,2.14e-06,0.63,78.935,7
152,Gianluca,Amor Platonico,not_hot,0.485,0.631,-9.476,0.058,0.063,0.000361,0.17,129.964,23
153,Morcheeba,The Sea,not_hot,0.468,0.812,-3.44,0.0491,0.0372,1.46e-06,0.789,72.987,20
154,Pretty Ricky,On The Hotline,not_hot,0.828,0.49,-8.218,0.0656,0.115,0.395,0.495,101.382,2
155,Avant,Sailing,not_hot,0.747,0.734,-5.781,0.0361,0.0726,0.0,0.153,110.978,28
156,Mastodon,Steambreather,not_hot,0.445,0.599,-6.824,0.0298,0.0508,4.26e-05,0.417,139.775,23
157,Ronnie Milsap,Smoky Mountain Rain,not_hot,0.34,0.161,-14.387,0.0423,0.955,0.693,0.0769,78.421,5
158,Bishop Briggs,The Fire,not_hot,0.374,0.579,-10.35,0.0523,0.173,0.535,0.702,176.083,10
159,George Strait,Check Yes Or No - Live,not_hot,0.509,0.397,-9.171,0.0277,0.743,0.00036,0.459,130.709,12
160,Kendo Kaponi,No Te Enamores,not_hot,0.435,0.187,-17.703,0.0309,0.739,0.00226,0.42,74.378,24
161,Jessie Ware,Til The End,not_hot,0.545,0.833,-5.145,0.0283,0.0107,2.95e-05,0.695,90.042,20
162,KWAYE,Sweetest Life,not_hot,0.453,0.9,-10.155,0.948,0.84,0.0,0.122,167.221,8
163,Starset,Telepathic,not_hot,0.648,0.432,-13.206,0.0404,0.923,0.898,0.519,138.966,17
164,Sleeping At Last,Hill,not_hot,0.652,0.456,-9.673,0.0569,0.737,0.0,0.966,121.983,9
165,Dalex,Vuelva a Ver,not_hot,0.114,0.124,-20.679,0.0361,0.84,0.947,0.0371,94.265,5
166,Young the Giant,Nothing's Over,not_hot,0.479,0.463,-7.663,0.0306,0.654,0.0,0.649,105.189,29
167,Suburban Legends,Bright Spring Morning,not_hot,0.605,0.71,-4.75,0.0753,0.0244,3.72e-05,0.691,110.171,1
168,Vallis Alps,Reprieve,not_hot,0.647,0.369,-11.049,0.0356,0.178,0.0283,0.293,130.03,12
169,Netherfriends,Caroline (A Song Not About Fuck Boys),not_hot,0.405,0.715,-5.681,0.0288,0.00041,0.0,0.166,156.024,23
170,Rob Baird,After All,not_hot,0.606,0.452,-14.928,0.0437,0.037,0.0,0.673,88.32,7
171,Diskord,U&I,not_hot,0.768,0.491,-10.628,0.033,0.421,0.0,0.955,102.802,9
172,Tori Kelly,Something Beautiful,not_hot,0.758,0.757,-5.696,0.0374,0.00739,0.0,0.617,97.918,22
173,Upchurch,Dukes of Hazzard,not_hot,0.708,0.305,-14.003,0.817,0.138,3.08e-06,0.691,174.154,8
174,Rage Against The Machine,Maggie's Farm,not_hot,0.655,0.506,-5.699,0.0254,0.1,0.928,0.205,94.017,14
175,Gunna,Money Don’t Change You,not_hot,0.326,0.127,-13.775,0.0368,0.972,5.63e-06,0.076,171.668,25
176,Avenged Sevenfold,Roman Sky,not_hot,0.283,0.978,-5.612,0.18,0.000105,0.0735,0.399,166.178,15
177,St Germain,Latin Note,not_hot,0.546,0.851,-5.402,0.0367,0.169,0.0,0.751,144.007,1
178,Yomo,Yakobe - Dirty,not_hot,0.778,0.544,-11.057,0.0498,0.274,0.708,0.304,109.996,2
179,Lil Yachty,Next Up,not_hot,0.782,0.266,-9.615,0.325,0.724,0.0,0.457,120.882,26
180,Meek Mill,We Ball (feat. Young Thug),not_hot,0.479,0.678,-12.17,0.0758,0.00018,0.661,0.227,116.033,14
181,Royal Club,No Hemos Muerto,not_hot,0.516,0.591,-7.181,0.0301,0.501,8.29e-05,0.538,82.981,29
182,Toro y Moi,Divina,not_hot,0.653,0.783,-6.004,0.0339,0.00423,3.6e-06,0.454,105.013,20
183,Cat Clyde,The River,not_hot,0.479,0.698,-5.722,0.0317,0.0056,0.0,0.33,119.978,11
184,Pinegrove,Aphasia,not_hot,0.503,0.967,-2.492,0.176,3.16e-05,0.0,0.254,95.006,4
185,Ohio Players,Skin Tight,not_hot,0.505,0.693,-9.008,0.0298,0.384,0.885,0.0355,119.886,18
186,Big Scoob,Bi**h Please,not_hot,0.834,0.551,-11.13,0.0295,0.461,0.135,0.73,113.843,9
187,Lecrae,Facts,not_hot,0.743,0.734,-4.612,0.089,0.137,0.000123,0.699,167.949,3
188,Demon Hunter,Loneliness,not_hot,0.857,0.645,-11.397,0.0574,0.655,0.0297,0.961,103.847,9
189,MUST DIE!,Gem Shards,not_hot,0.526,0.125,-14.848,0.0436,0.87,0.0,0.394,123.687,24
190,Basement,Covet,not_hot,0.419,0.36,-10.093,0.0319,0.984,0.00189,0.073,134.273,25
191,The Knife,Silent Shout,not_hot,0.58,0.717,-4.097,0.0294,0.286,0.0,0.755,170.013,10
192,Ludwig van Beethoven,"Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2 ""Moonlight"": I. Adagio sostenuto",not_hot,0.823,0.726,-4.701,0.253,0.0563,0.0,0.713,93.852,6
193,Peter Tosh,Whatcha Gonna Do,not_hot,0.658,0.595,-7.818,0.48,0.268,0.0,0.236,91.34,26
194,Stereolab,Diagonals,not_hot,0.167,0.236,-15.653,0.043,0.124,0.825,0.137,51.29,5
195,The Zolas,Why Do I Wait (When I Know You've Got a Lover),not_hot,0.294,0.274,-13.729,0.0279,0.673,0.0,0.15,82.931,0
196,Imaginary Future,I Still Haven't Found What I'm Looking For,not_hot,0.865,0.487,-8.525,0.0527,0.00251,0.592,0.471,117.993,2
197,Michael Ray,"Psycho - Recorded at Sound Stage Studios, Nashville",not_hot,0.489,0.442,-12.022,0.0341,0.383,0.0,0.276,169.249,25
198,Jhene Aiko,LSD,not_hot,0.616,0.885,-3.876,0.309,0.473,0.0,0.541,76.3,6
199,Rose Cousins,Donoughmore,not_hot,0.805,0.638,-5.864,0.0806,0.142,0.0,0.644,94.52,22
200,Ella Vos,Down in Flames,not_hot,0.519,0.279,-11.821,0.0419,0.929,0.000116,0.4,116.159,24
201,Nao,DYWM,not_hot,0.559,0.393,-11.095,0.0237,0.717,0.0,0.669,90.105,29
202,Ibrahim Ferrer,Buenos Hermanos,not_hot,0.723,0.502,-7.104,0.0524,0.23,0.0,0.515,93.965,7
203,Steely Dan,Haitian Divorce,not_hot,0.438,0.882,-5.459,0.154,0.00127,0.0,0.674,184.058,10
204,Adema,Giving In,not_hot,0.639,0.651,-5.959,0.213,0.166,0.0,0.328,113.976,6
205,Zion.T,SNOW,not_hot,0.147,0.0457,-19.188,0.042,0.96,0.927,0.0364,138.942,19
206,The Paper Kites,Does It Ever Cross Your Mind,not_hot,0.656,0.806,-5.354,0.0433,0.0454,2.33e-05,0.572,149.975,1
207,The Black Keys,Ten Cent Pistol,not_hot,0.198,0.0382,-29.885,0.0443,0.989,0.969,0.127,136.392,19
208,Rexx Life Raj,Freedom Love (feat. Goapele),not_hot,0.0644,0.0463,-29.709,0.044,0.987,0.781,0.0289,74.571,27
209,Twain,Solar Pilgrim,not_hot,0.343,0.174,-14.471,0.0359,0.807,0.47,0.195,96.888,0
210,Feyde,Stars,not_hot,0.503,0.834,-4.816,0.041,0.056,2.36e-06,0.587,100.453,20
211,Frédéric Chopin,"Études, Op. 10: No. 6 in E-Flat minor: Andante - Live",not_hot,0.335,0.769,-6.844,0.377,0.0716,0.0,0.334,77.275,26
212,Beres Hammond,What One Dance Can Do,not_hot,0.562,0.772,-4.068,0.0362,0.0932,0.0,0.77,148.126,1
213,Phil Wickham,Till I Found You - Recorded at Sound Stage Studios Nashville,not_hot,0.195,0.53,-10.152,0.0288,0.0343,0.000133,0.202,80.711,13
214,The Bouncing Souls,Favorite Everything,not_hot,0.803,0.786,-3.669,0.164,0.147,0.0,0.922,168.054,3
215,Stan Getz,Samba Dees Days,not_hot,0.88,0.507,-7.782,0.0921,0.0587,0.474,0.378,109.977,2
216,Frédéric Chopin,"Nocturne No. 1 en Fa Majeur, Op 15",not_hot,0.661,0.942,-3.632,0.0949,0.382,0.00902,0.552,104.012,20
217,Me First and the Gimme Gimmes,Wild World,not_hot,0.392,0.514,-4.821,0.0297,0.445,0.0,0.688,113.318,29
218,Lyanno,La Bellakera,not_hot,0.301,0.0868,-24.084,0.0379,0.977,0.83,0.264,86.594,27
219,Townes Van Zandt,Waiting Around to Die,not_hot,0.574,0.837,-8.424,0.0531,0.111,0.483,0.251,100.966,14
220,Justin Hurwitz,Call From Dad,not_hot,0.456,0.955,-4.366,0.208,0.0606,0.0,0.551,191.615,10
221,James Bay,Incomplete,not_hot,0.838,0.249,-13.714,0.0719,0.825,0.000574,0.741,75.004,9
222,The Cat Empire,All Night Loud,not_hot,0.547,0.821,-11.935,0.0447,0.00341,0.0504,0.457,139.783,11
223,Daddy Yankee,No Me Dejes Solo - Live,not_hot,0.489,0.843,-6.536,0.0998,0.0115,1.21e-06,0.49,92.088,20
224,Curren$y,Restoration (feat. Roddy & St Wiz),not_hot,0.603,0.265,-11.627,0.0372,0.806,1.65e-06,0.71,131.188,9
225,Breaking Benjamin,Rain,not_hot,0.511,0.37,-11.09,0.0833,0.0813,0.444,0.379,141.966,23
226,Waterparks,We Need to Talk,not_hot,0.608,0.955,-3.361,0.0779,0.0212,0.0,0.879,122.447,1
227,Good Charlotte,My Bloody Valentine,not_hot,0.525,0.416,-12.211,0.0505,0.0558,0.0978,0.554,80.449,7
228,MF DOOM,THAT'S THAT,not_hot,0.667,0.854,-4.303,0.0439,0.0472,0.203,0.711,107.022,1
229,Elaquent,Cocoa,not_hot,0.725,0.321,-14.517,0.055,0.735,0.00105,0.576,76.968,24
