,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
3308,Jason Aldean,This Plane Don't Go There,not_hot,0.506,0.49,-8.411,0.126,0.198,0.448,0.12,147.879,23
3309,Bill Evans,My Foolish Heart,not_hot,0.316,0.482,-7.923,0.0476,0.605,4.96e-05,0.287,78.353,13
3310,Chase Rice,25 Wexford St.,not_hot,0.395,0.549,-10.909,0.0513,0.752,0.0125,0.52,89.539,29
3311,Lianne La Havas,No Room For Doubt (feat. Willy Mason),not_hot,0.656,0.906,-4.225,0.0483,0.0104,0.00328,0.947,144.979,1
3312,Kari Jobe,Breathe On Us - Live,not_hot,0.605,0.501,-7.49,0.0429,0.0318,0.35,0.103,150.013,23
3313,BØRNS,Seeing Stars,not_hot,0.632,0.964,-1.555,0.0819,0.0117,0.0014,0.402,124.997,11
3314,Ray Charles,A Song For You,not_hot,0.523,0.479,-12.095,0.036,0.532,0.912,0.112,90.085,17
3315,Streetlight Manifesto,If and When We Rise Again,not_hot,0.698,0.662,-7.997,0.0861,0.567,1.44e-06,0.815,141.666,3
3316,Astor Piazzolla,Libertango,not_hot,0.521,0.918,-5.915,0.0592,0.00449,0.0,0.366,92.959,4
3317,Prince Royce,Soy el Mismo,not_hot,0.406,0.279,-13.747,0.038,0.627,2.84e-06,0.38,132.738,25
3318,Tierra Whack,4 Wings,not_hot,0.546,0.685,-5.803,0.0328,0.00136,1.61e-06,0.218,128.025,11
3319,Alborosie,Life To Me (feat. Kymani Marley),not_hot,0.702,0.558,-11.952,0.0288,0.0304,0.0,0.903,114.932,22
3320,Castlecomer,Move,not_hot,0.902,0.743,-3.495,0.284,0.103,5.53e-06,0.626,135.951,16
3321,Portugal. The Man,Hip Hop Kids,not_hot,0.636,0.577,-10.059,0.525,0.245,0.0,0.188,94.356,26
3322,Francesca Battistelli,Giants Fall,not_hot,0.36,0.366,-11.636,0.0683,0.975,0.00229,0.386,80.491,24
3323,Benjamin Wallfisch,Denouement,not_hot,0.448,0.576,-5.568,0.053,0.0778,0.117,0.101,174.039,23
3324,Gammer,THE DROP - Stonebank Remix,not_hot,0.76,0.568,-12.166,0.0578,0.0521,0.000932,0.962,144.678,3
3325,Hraach,Una Mattina - Original Mix,not_hot,0.307,0.109,-16.524,0.0375,0.861,2.73e-05,0.405,169.655,25
3326,Ty Dolla $ign,Zaddy,not_hot,0.589,0.865,-2.881,0.0347,0.000924,0.355,0.524,118.027,20
3327,Anthony Jeselnik,Came Down With The Cancer,not_hot,0.657,0.833,-6.528,0.026,0.112,0.21,0.544,88.018,20
3328,Neon Trees,Songs I Can't Listen To,not_hot,0.756,0.546,-9.359,0.161,0.205,0.0,0.949,75.354,22
3329,The Weeknd,The Fall,not_hot,0.63,0.488,-6.652,0.254,0.708,0.0,0.719,88.696,26
3330,Cauty,Me Bookean,not_hot,0.554,0.891,-3.919,0.0991,0.0686,1.47e-05,0.454,154.012,11
3331,Gramatik,A Bunch of Questions,not_hot,0.775,0.795,-4.171,0.206,0.148,0.00119,0.796,95.212,6
3332,Sorority Noise,"Blonde Hair, Black Lungs",not_hot,0.556,0.636,-9.427,0.45,0.0791,0.00838,0.294,120.147,16
3333,Pharrell Williams,Gust of Wind,not_hot,0.545,0.832,-5.812,0.0376,0.0463,0.0,0.358,134.057,11
3334,Johnny Cash,The Rebel - Johnny Yuma,not_hot,0.648,0.721,-8.918,0.0342,0.0755,0.122,0.555,109.992,7
3335,MELVV,Lifeline,not_hot,0.558,0.865,-5.418,0.0347,0.153,0.708,0.528,100.008,14
3336,SiR,That's Alright,not_hot,0.683,0.587,-6.814,0.0416,0.846,4.52e-05,0.601,93.045,29
3337,Alter Bridge,Ties That Bind,not_hot,0.674,0.496,-14.709,0.0357,0.281,0.929,0.398,112.011,2
3338,Shane & Shane,Psalm 145 (Live),not_hot,0.632,0.752,-6.173,0.118,0.0072,0.000207,0.416,177.866,10
3339,Charlotte Day Wilson,Where Do You Go,not_hot,0.245,0.242,-12.963,0.0318,0.965,0.00833,0.138,135.714,0
3340,Canaan Smith,We Got Us,not_hot,0.605,0.819,-7.14,0.0799,0.0116,0.855,0.537,93.986,14
3341,Steven Curtis Chapman,Dive (feat. Ricky Skaggs),not_hot,0.657,0.207,-14.256,0.03,0.667,2.01e-06,0.277,105.033,24
3342,Heidi Mollenhauer,God Help the Outcasts,not_hot,0.653,0.726,-5.68,0.0305,0.00283,1.97e-06,0.196,112.139,28
3343,Black Flag,Spray Paint,not_hot,0.721,0.318,-15.385,0.62,0.982,0.0,0.885,49.549,8
3344,T-Bone Walker,T-Bone Blues,not_hot,0.437,0.176,-15.466,0.0626,0.57,0.0138,0.46,171.94,25
3345,Noah Gundersen,GOD DON’T TALK TO STRANGERS,not_hot,0.874,0.579,-10.974,0.209,0.343,0.536,0.255,102.0,2
3346,Iris Temple,Parade,not_hot,0.792,0.476,-11.707,0.0412,0.372,0.0157,0.82,98.871,9
