,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3192,Jon Hopkins,Abandon Window,5YZ1S9UfTHUxuIF3eTIGGf,0.58,0.143,0,-17.009,1,0.0474,0.955,0.916,0.115,0.323,121.534,audio_features,0H9sXkWkIQlCNqJhXhxpul,spotify:track:0H9sXkWkIQlCNqJhXhxpul,https://api.spotify.com/v1/tracks/0H9sXkWkIQlCNqJhXhxpul,https://api.spotify.com/v1/audio-analysis/0H9sXkWkIQlCNqJhXhxpul,200013,4
3193,Richard Wagner,"Die Walkure: Act III Scene 1: Walkurenritt: Hojotoho! Heiaha! (Gerhilde, Helmwige, Waltraute, Schwertleite, Ortlinde, Siegrune, Grimgerde, Rossweisse)",14bfGXGq1tbZc6f6WnqLAD,0.74,0.908,4,-2.668,0,0.0327,0.106,0.0,0.0637,0.745,105.996,audio_features,5SusX17QvBBkH7WfMbTU0j,spotify:track:5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/tracks/5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/audio-analysis/5SusX17QvBBkH7WfMbTU0j,220099,4
3194,Kelly Clarkson,Invincible,0yUlMnLpU2W6JQtvg1k4Od,0.598,0.841,5,-6.652,0,0.0563,0.107,8.22e-05,0.154,0.367,116.077,audio_features,1PBp3M4Dh1TO0D6kgL8GqA,spotify:track:1PBp3M4Dh1TO0D6kgL8GqA,https://api.spotify.com/v1/tracks/1PBp3M4Dh1TO0D6kgL8GqA,https://api.spotify.com/v1/audio-analysis/1PBp3M4Dh1TO0D6kgL8GqA,138173,4
3195,Joe Nichols,Shape I'm In,2M5HmGMNoPQetbAc3BnETK,0.528,0.782,1,-7.528,1,0.217,0.237,2.4e-06,0.453,0.198,62.999,audio_features,5rH44jGz4N5csNuMPwgMoF,spotify:track:5rH44jGz4N5csNuMPwgMoF,https://api.spotify.com/v1/tracks/5rH44jGz4N5csNuMPwgMoF,https://api.spotify.com/v1/audio-analysis/5rH44jGz4N5csNuMPwgMoF,262520,4
3196,Kid Cudi,My World,38RSpldD3Vlc7Uud9gAxFG,0.708,0.447,1,-6.305,1,0.0952,0.0271,0.000728,0.102,0.0384,89.62,audio_features,4qfUlchVD7WM4JhA5xio6m,spotify:track:4qfUlchVD7WM4JhA5xio6m,https://api.spotify.com/v1/tracks/4qfUlchVD7WM4JhA5xio6m,https://api.spotify.com/v1/audio-analysis/4qfUlchVD7WM4JhA5xio6m,276968,4
3197,Alestorm,Alestorm,6Br1VbTp9OptQn0uTQcil0,0.243,0.124,5,-19.238,0,0.0353,0.973,0.883,0.0908,0.0767,95.828,audio_features,7FEBPxOnvLsLnUpYq1VXPB,spotify:track:7FEBPxOnvLsLnUpYq1VXPB,https://api.spotify.com/v1/tracks/7FEBPxOnvLsLnUpYq1VXPB,https://api.spotify.com/v1/audio-analysis/7FEBPxOnvLsLnUpYq1VXPB,823573,3
3198,Anomalie,Crescent,58zFkROMyeq4o1OMIQQgsL,0.477,0.447,7,-5.48,1,0.0254,0.601,5.64e-06,0.247,0.15,136.086,audio_features,6f5Dnnt8tJ96Y9MWnHl75p,spotify:track:6f5Dnnt8tJ96Y9MWnHl75p,https://api.spotify.com/v1/tracks/6f5Dnnt8tJ96Y9MWnHl75p,https://api.spotify.com/v1/audio-analysis/6f5Dnnt8tJ96Y9MWnHl75p,251067,3
3199,Rvssian,Pablo,6x5fOpVjPF8zIUvMpxRuto,0.411,0.909,8,-5.203,1,0.0381,0.00808,0.0,0.0995,0.719,194.042,audio_features,59DQjXLvUdvG6JVnGYhue7,spotify:track:59DQjXLvUdvG6JVnGYhue7,https://api.spotify.com/v1/tracks/59DQjXLvUdvG6JVnGYhue7,https://api.spotify.com/v1/audio-analysis/59DQjXLvUdvG6JVnGYhue7,213067,4
3200,Megadeth,Trust - Remastered 2004 / Remixed,5emb8RDOZtpXlw6D0eEQbz,0.452,0.737,2,-6.659,0,0.0356,0.0349,0.0246,0.0855,0.0406,110.02,audio_features,6aVPeZN5aqsX7Tc55OGBsp,spotify:track:6aVPeZN5aqsX7Tc55OGBsp,https://api.spotify.com/v1/tracks/6aVPeZN5aqsX7Tc55OGBsp,https://api.spotify.com/v1/audio-analysis/6aVPeZN5aqsX7Tc55OGBsp,312507,3
3201,Angelique Kidjo,Born Under Punches,2lhaHl8ZY8JcHdyKpgkF5x,0.354,0.0119,7,-27.02,1,0.0368,0.86,5.27e-05,0.202,0.171,131.925,audio_features,1Tr2L7ReZI949dC9QPzkQc,spotify:track:1Tr2L7ReZI949dC9QPzkQc,https://api.spotify.com/v1/tracks/1Tr2L7ReZI949dC9QPzkQc,https://api.spotify.com/v1/audio-analysis/1Tr2L7ReZI949dC9QPzkQc,149387,4
